,Series_Title,Genre,Overview,Director,Actors
788,I Am Sam,Drama,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Jessie Nelson,Sean PennMichelle PfeifferDakota Fanning
789,Adaptation.,"Comedy, Drama",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,Spike Jonze,Nicolas CageMeryl StreepChris Cooper
790,Black Hawk Down,"Drama, History, War",160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,Ridley Scott,Josh HartnettEwan McGregorTom Sizemore
791,Road to Perdition,"Crime, Drama, Thriller","A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Sam Mendes,Tom HanksTyler HoechlinRob Maxey
792,Das Experiment,"Drama, Thriller","For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",Oliver Hirschbiegel,Moritz BleibtreuChristian BerkelOliver Stokowski
793,Billy Elliot,"Drama, Music",A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,Stephen Daldry,Jamie BellJulie WaltersJean Heywood
794,Hedwig and the Angry Inch,"Comedy, Drama, Music",A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,John Cameron Mitchell,John Cameron MitchellMiriam ShorStephen Trask
795,Ocean's Eleven,"Crime, Thriller",Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Steven Soderbergh,George ClooneyBrad PittJulia Roberts
796,Vampire Hunter D: Bloodlust,"Animation, Action, Fantasy","When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",Yoshiaki Kawajiri,Andrew PhilpotJohn Rafter LeePamela Adlon
797,"O Brother, Where Art Thou?","Adventure, Comedy, Crime","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",Joel Coen,Ethan CoenGeorge ClooneyJohn Turturro
798,Interstate 60: Episodes of the Road,"Adventure, Comedy, Drama","Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",Bob Gale,James MarsdenGary OldmanKurt Russell
799,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",Trey Parker,Trey ParkerMatt StoneMary Kay Bergman
800,Office Space,Comedy,Three company workers who hate their jobs decide to rebel against their greedy boss.,Mike Judge,Ron LivingstonJennifer AnistonDavid Herman
801,Happiness,"Comedy, Drama","The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",Todd Solondz,Jane AdamsJon LovitzPhilip Seymour Hoffman
802,Training Day,"Crime, Drama, Thriller",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Antoine Fuqua,Denzel WashingtonEthan HawkeScott Glenn
803,Rushmore,"Comedy, Drama, Romance",The extracurricular king of Rushmore Preparatory School is put on academic probation.,Wes Anderson,Jason SchwartzmanBill MurrayOlivia Williams
804,Abre los ojos,"Drama, Mystery, Sci-Fi","A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",Alejandro Amenábar,Eduardo NoriegaPenélope CruzChete Lera
805,Being John Malkovich,"Comedy, Drama, Fantasy",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Spike Jonze,John CusackCameron DiazCatherine Keener
806,As Good as It Gets,"Comedy, Drama, Romance","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",James L. Brooks,Jack NicholsonHelen HuntGreg Kinnear
807,The Fifth Element,"Action, Adventure, Sci-Fi","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",Luc Besson,Bruce WillisMilla JovovichGary Oldman
808,Le dîner de cons,Comedy,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",Francis Veber,Thierry LhermitteJacques VilleretFrancis Huster
809,Donnie Brasco,"Biography, Crime, Drama","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",Mike Newell,Al PacinoJohnny DeppMichael Madsen
810,Shine,"Biography, Drama, Music","Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",Scott Hicks,Geoffrey RushArmin Mueller-StahlJustin Braine
811,Primal Fear,"Crime, Drama, Mystery","An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",Gregory Hoblit,Richard GereLaura LinneyEdward Norton
812,Hamlet,Drama,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",Kenneth Branagh,Kenneth BranaghJulie ChristieDerek Jacobi
813,A Little Princess,"Drama, Family, Fantasy",A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,Alfonso Cuarón,Liesel MatthewsEleanor BronLiam Cunningham
814,Do lok tin si,"Comedy, Crime, Drama","This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",Kar-Wai Wong,Leon LaiMichelle ReisTakeshi Kaneshiro
815,Il postino,"Biography, Comedy, Drama","A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",Michael Radford,Massimo TroisiMassimo TroisiPhilippe Noiret
816,Clerks,Comedy,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,Brian O'HalloranJeff AndersonMarilyn Ghigliotti
817,Short Cuts,"Comedy, Drama",The day-to-day lives of several suburban Los Angeles residents.,Robert Altman,Andie MacDowellJulianne MooreTim Robbins
818,Philadelphia,Drama,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Jonathan Demme,Tom HanksDenzel WashingtonRoberta Maxwell
819,The Muppet Christmas Carol,"Comedy, Drama, Family",The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,Brian Henson,Michael CaineKermit the FrogDave Goelz
820,Malcolm X,"Biography, Drama, History","Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",Spike Lee,Denzel WashingtonAngela BassettDelroy Lindo
821,The Last of the Mohicans,"Action, Adventure, Drama",Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann,Daniel Day-LewisMadeleine StoweRussell Means
822,Kurenai no buta,"Animation, Adventure, Comedy","In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",Hayao Miyazaki,Shûichirô MoriyamaTokiko KatôBunshi Katsura Vi
823,Glengarry Glen Ross,"Crime, Drama, Mystery",An examination of the machinations behind the scenes at a real estate office.,James Foley,Al PacinoJack LemmonAlec Baldwin
824,A Few Good Men,"Drama, Thriller",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,Rob Reiner,Tom CruiseJack NicholsonDemi Moore
825,Fried Green Tomatoes,Drama,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Jon Avnet,Kathy BatesJessica TandyMary Stuart Masterson
826,Barton Fink,"Comedy, Drama, Thriller",A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,Joel Coen,Ethan CoenJohn TurturroJohn Goodman
827,Miller's Crossing,"Crime, Drama, Thriller","Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",Joel Coen,Ethan CoenGabriel ByrneAlbert Finney
828,Who Framed Roger Rabbit,"Animation, Adventure, Comedy",A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Robert Zemeckis,Bob HoskinsChristopher LloydJoanna Cassidy
829,Spoorloos,"Mystery, Thriller","Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",George Sluizer,Bernard-Pierre DonnadieuGene BervoetsJohanna ter Steege
830,Withnail & I,"Comedy, Drama","In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",Bruce Robinson,Richard E. GrantPaul McGannRichard Griffiths
831,The Last Emperor,"Biography, Drama, History",The story of the final Emperor of China.,Bernardo Bertolucci,John LoneJoan ChenPeter O'Toole
832,Empire of the Sun,"Action, Drama, History",A young English boy struggles to survive under Japanese occupation during World War II.,Steven Spielberg,Christian BaleJohn MalkovichMiranda Richardson
833,Der Name der Rose,"Crime, Drama, Mystery",An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,Jean-Jacques Annaud,Sean ConneryChristian SlaterHelmut Qualtinger
834,Blue Velvet,"Drama, Mystery, Thriller","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",David Lynch,Isabella RosselliniKyle MacLachlanDennis Hopper
835,The Purple Rose of Cairo,"Comedy, Fantasy, Romance","In New Jersey in 1935, a movie character walks off the screen and into the real world.",Woody Allen,Mia FarrowJeff DanielsDanny Aiello
836,After Hours,"Comedy, Crime, Drama",An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Martin Scorsese,Griffin DunneRosanna ArquetteVerna Bloom
837,Zelig,Comedy,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",Woody Allen,Woody AllenMia FarrowPatrick Horgan
838,The Verdict,Drama,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Sidney Lumet,Paul NewmanCharlotte RamplingJack Warden
839,Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi","With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",Nicholas Meyer,William ShatnerLeonard NimoyDeForest Kelley
840,First Blood,"Action, Adventure",A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,Ted Kotcheff,Sylvester StalloneBrian DennehyRichard Crenna
841,Ordinary People,Drama,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",Robert Redford,Donald SutherlandMary Tyler MooreJudd Hirsch
842,Airplane!,Comedy,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,Jim Abrahams,David ZuckerJerry ZuckerRobert Hays
843,Rupan sansei: Kariosutoro no shiro,"Animation, Adventure, Family","A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",Hayao Miyazaki,Yasuo YamadaEiko MasuyamaKiyoshi Kobayashi
844,Halloween,"Horror, Thriller","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",John Carpenter,Donald PleasenceJamie Lee CurtisTony Moran
845,Le locataire,"Drama, Thriller",A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,Roman Polanski,Roman PolanskiIsabelle AdjaniMelvyn Douglas
846,Love and Death,"Comedy, War","In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",Woody Allen,Woody AllenDiane KeatonGeorges Adet
847,The Taking of Pelham One Two Three,"Action, Crime, Thriller","In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",Joseph Sargent,Walter MatthauRobert ShawMartin Balsam
848,Blazing Saddles,"Comedy, Western","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",Mel Brooks,Cleavon LittleGene WilderSlim Pickens
849,Serpico,"Biography, Crime, Drama",An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Sidney Lumet,Al PacinoJohn RandolphJack Kehoe
850,Enter the Dragon,"Action, Crime, Drama",A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Robert Clouse,Bruce LeeJohn SaxonJim Kelly
851,Deliverance,"Adventure, Drama, Thriller","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",John Boorman,Jon VoightBurt ReynoldsNed Beatty
852,The French Connection,"Action, Crime, Drama",A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,William Friedkin,Gene HackmanRoy ScheiderFernando Rey
853,Dirty Harry,"Action, Crime, Thriller","When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",Don Siegel,Clint EastwoodAndrew RobinsonHarry Guardino
854,Where Eagles Dare,"Action, Adventure, War","Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Brian G. Hutton,Richard BurtonClint EastwoodMary Ure
855,The Odd Couple,Comedy,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Gene Saks,Jack LemmonWalter MatthauJohn Fiedler
856,The Dirty Dozen,"Action, Adventure, War","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",Robert Aldrich,Lee MarvinErnest BorgnineCharles Bronson
857,Belle de jour,"Drama, Romance",A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Luis Buñuel,Catherine DeneuveJean SorelMichel Piccoli
858,A Man for All Seasons,"Biography, Drama, History","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Fred Zinnemann,Paul ScofieldWendy HillerRobert Shaw
859,Repulsion,"Drama, Horror, Thriller",A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,Roman Polanski,Catherine DeneuveIan HendryJohn Fraser
860,Zulu,"Drama, History, War",Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Cy Endfield,Stanley BakerJack HawkinsUlla Jacobsson
861,Goldfinger,"Action, Adventure, Thriller","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Guy Hamilton,Sean ConneryGert FröbeHonor Blackman
862,The Birds,"Drama, Horror, Mystery",A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,Alfred Hitchcock,Rod TaylorTippi HedrenJessica Tandy
863,Cape Fear,"Drama, Thriller",A lawyer's family is stalked by a man he once helped put in jail.,J. Lee Thompson,Gregory PeckRobert MitchumPolly Bergen
864,Peeping Tom,"Drama, Horror, Thriller","A young man murders women, using a movie camera to film their dying expressions of terror.",Michael Powell,Karlheinz BöhmAnna MasseyMoira Shearer
865,The Magnificent Seven,"Action, Adventure, Western",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,John Sturges,Yul BrynnerSteve McQueenCharles Bronson
866,Les yeux sans visage,"Drama, Horror","A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.",Georges Franju,Pierre BrasseurAlida ValliJuliette Mayniel
867,Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,Don Siegel,Kevin McCarthyDana WynterLarry Gates
868,Rebel Without a Cause,Drama,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",Nicholas Ray,James DeanNatalie WoodSal Mineo
869,The Ladykillers,"Comedy, Crime",Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Alexander Mackendrick,Alec GuinnessPeter SellersCecil Parker
870,Sabrina,"Comedy, Drama, Romance","A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Billy Wilder,Humphrey BogartAudrey HepburnWilliam Holden
871,The Quiet Man,"Comedy, Drama, Romance","A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",John Ford,John WayneMaureen O'HaraBarry Fitzgerald
872,The Day the Earth Stood Still,"Drama, Sci-Fi",An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,Robert Wise,Michael RenniePatricia NealHugh Marlowe
873,The African Queen,"Adventure, Drama, Romance","In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",John Huston,Humphrey BogartKatharine HepburnRobert Morley
874,Gilda,"Drama, Film-Noir, Romance",A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,Charles Vidor,Rita HayworthGlenn FordGeorge Macready
875,Fantasia,"Animation, Family, Fantasy",A collection of animated interpretations of great works of Western classical music.,James Algar,Samuel ArmstrongFord Beebe Jr.Norman Ferguson
876,The Invisible Man,"Horror, Sci-Fi","A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",James Whale,Claude RainsGloria StuartWilliam Harrigan
877,Dark Waters,"Biography, Drama, History",A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,Todd Haynes,Mark RuffaloAnne HathawayTim Robbins
878,Searching,"Drama, Mystery, Thriller","After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",Aneesh Chaganty,John ChoDebra MessingJoseph Lee
879,Once Upon a Time... in Hollywood,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,Quentin Tarantino,Leonardo DiCaprioBrad PittMargot Robbie
880,Nelyubov,Drama,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Andrey Zvyagintsev,Maryana SpivakAleksey RozinMatvey Novikov
881,The Florida Project,Drama,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Sean Baker,Brooklynn PrinceBria VinaiteWillem Dafoe
882,Just Mercy,"Biography, Crime, Drama",World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,Destin Daniel Cretton,Michael B. JordanJamie FoxxBrie Larson
883,Gifted,Drama,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",Marc Webb,Chris EvansMckenna GraceLindsay Duncan
884,The Peanut Butter Falcon,"Adventure, Comedy, Drama",Zak runs away from his care home to make his dream of becoming a wrestler come true.,Tyler Nilson,Michael SchwartzZack GottsagenAnn Owens
885,Victoria,"Crime, Drama, Romance",A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,Sebastian Schipper,Laia CostaFrederick LauFranz Rogowski
886,Mustang,Drama,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",Deniz Gamze Ergüven,Günes SensoyDoga Zeynep DogusluTugba Sunguroglu
887,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",James Gunn,Chris PrattZoe SaldanaDave Bautista
888,Baby Driver,"Action, Crime, Drama","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",Edgar Wright,Ansel ElgortJon BernthalJon Hamm
889,Only the Brave,"Action, Biography, Drama","Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",Joseph Kosinski,Josh BrolinMiles TellerJeff Bridges
890,Bridge of Spies,"Drama, History, Thriller","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg,Tom HanksMark RylanceAlan Alda
891,Incredibles 2,"Animation, Action, Adventure",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Brad Bird,Craig T. NelsonHolly HunterSarah Vowell
892,Moana,"Animation, Adventure, Comedy","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",Ron Clements,John MuskerDon HallChris Williams
893,Sicario,"Action, Crime, Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Denis Villeneuve,Emily BluntJosh BrolinBenicio Del Toro
894,Creed,"Drama, Sport","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,Michael B. JordanSylvester StalloneTessa Thompson
895,Leviafan,"Crime, Drama","In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",Andrey Zvyagintsev,Aleksey SerebryakovElena LyadovaRoman Madyanov
896,Hell or High Water,"Action, Crime, Drama",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,Chris PineBen FosterJeff Bridges
897,Philomena,"Biography, Comedy, Drama","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Stephen Frears,Judi DenchSteve CooganSophie Kennedy Clark
898,Dawn of the Planet of the Apes,"Action, Adventure, Drama",A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Matt Reeves,Gary OldmanKeri RussellAndy Serkis
899,El cuerpo,"Mystery, Thriller",A detective searches for the body of a femme fatale which has gone missing from a morgue.,Oriol Paulo,Jose CoronadoHugo SilvaBelén Rueda
900,Serbuan maut,"Action, Thriller",A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,Iko UwaisAnanda GeorgeRay Sahetapy
901,End of Watch,"Action, Crime, Drama","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",David Ayer,Jake GyllenhaalMichael PeñaAnna Kendrick
902,Kari-gurashi no Arietti,"Animation, Adventure, Family","The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",Hiromasa Yonebayashi,Amy PoehlerMirai ShidaRyûnosuke Kamiki
903,A Star Is Born,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Bradley Cooper,Lady GagaBradley CooperSam Elliott
904,True Grit,"Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Ethan Coen,Joel CoenJeff BridgesMatt Damon
905,Hævnen,"Drama, Romance","The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Susanne Bier,Mikael PersbrandtTrine DyrholmMarkus Rygaard
906,Despicable Me,"Animation, Comedy, Crime","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Pierre Coffin,Chris RenaudSteve CarellJason Segel
907,50/50,"Comedy, Drama, Romance","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Jonathan Levine,Joseph Gordon-LevittSeth RogenAnna Kendrick
908,Kick-Ass,"Action, Comedy, Crime","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Matthew Vaughn,Aaron Taylor-JohnsonNicolas CageChloë Grace Moretz
909,Celda 211,"Action, Adventure, Crime","The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Daniel Monzón,Luis TosarAlberto AmmannAntonio Resines
910,Moneyball,"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Bennett Miller,Brad PittRobin WrightJonah Hill
911,La piel que habito,"Drama, Horror, Thriller","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",Pedro Almodóvar,Antonio BanderasElena AnayaJan Cornet
912,Zombieland,"Adventure, Comedy, Fantasy","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Ruben Fleischer,Jesse EisenbergEmma StoneWoody Harrelson
913,Die Welle,"Drama, Thriller",A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,Dennis Gansel,Jürgen VogelFrederick LauMax Riemelt
914,Sherlock Holmes,"Action, Adventure, Mystery",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,Robert Downey Jr.Jude LawRachel McAdams
915,The Blind Side,"Biography, Drama, Sport","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,Quinton AaronSandra BullockTim McGraw
916,The Visitor,Drama,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Tom McCarthy,Richard JenkinsHaaz SleimanDanai Gurira
917,Seven Pounds,Drama,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Gabriele Muccino,Will SmithRosario DawsonWoody Harrelson
918,Eastern Promises,"Action, Crime, Drama",A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,David Cronenberg,Naomi WattsViggo MortensenArmin Mueller-Stahl
919,Stardust,"Adventure, Family, Fantasy","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,Charlie CoxClaire DanesSienna Miller
920,The Secret of Kells,"Animation, Adventure, Family","A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Tomm Moore,Nora TwomeyEvan McGuireBrendan Gleeson
921,Inside Man,"Crime, Drama, Mystery","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Spike Lee,Denzel WashingtonClive OwenJodie Foster
922,Gone Baby Gone,"Crime, Drama, Mystery","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Ben Affleck,Morgan FreemanEd HarrisCasey Affleck
923,La Vie En Rose,"Biography, Drama, Music","Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Olivier Dahan,Marion CotillardSylvie TestudPascal Greggory
924,Huo Yuan Jia,"Action, Biography, Drama","A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",Ronny Yu,Jet LiLi SunYong Dong
925,The Illusionist,"Drama, Fantasy, Mystery","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Neil Burger,Edward NortonJessica BielPaul Giamatti
